"HYBAS_ID","Australasian.Darter","Australian.Pelican","Grey.Teal","Intermediate.Egret","Australasian.Grebe","Azure.Kingfisher","Caspian.Tern","Eastern.Reef.Egret","Green.Pygmy.goose","Lesser.Crested.Tern","Little.Egret","Little.Tern","Nankeen.Night.Heron","Pacific.Black.Duck","Pied.Cormorant","Pied.Heron","Pink.eared.Duck","Royal.Spoonbill","Striated.Heron","Wandering.Whistling.Duck","Whiskered.Tern","White.necked.Heron","Yellow.billed.Spoonbill","White.winged.Black.Tern","Hardhead","Little.Pied.Cormorant","Little.Black.Cormorant","Great.billed.Heron","Black.Swan","Chestnut.Teal","Radjah.Shelduck","Dusky.Moorhen","Eurasian.Coot","Great.Cormorant","Hoary.headed.Grebe","Magpie.Goose","Black.Bittern","Little.Kingfisher","White.browed.Crake","Cotton.Pygmy.goose","Northern.Mallard","Australasian.Shoveler","Australasian.Bittern","Agricultural_Water_Stress","Aquaculture_Pressure","Consumptive_Water_Loss","Cropland","Fishing_Pressure","Human_Water_Stress","Impervious_Surfaces","Livestock_Density","Mercury_Deposition","Nitrogen_Loading","Organic_Loading","Pesticide_Loading","Phosphorus_Loading","Potential_Acidification","Sediment_Loading","Soil_Salinisation","Thermal_Alteration","Wetland_Disconnectivity","ele_mt_sav","tmp_dc_syr","pre_mm_syr","ire_pc_sse","X","Y"
5080070040,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.605000019073486,0.301600009202957,0.0626000016927719,0.140100002288818,0.17790000140667,0.853500008583069,0.588299989700317,0.188700005412102,0.86710000038147,0,0.51230001449585,0.394400000572205,0.221599996089935,0.808200001716614,0.551199972629547,0,0.112400002777576,0.392100006341934,17,216,1176,4,152.72659536862,-25.2945232760794
5080070080,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605000019073486,0.301600009202957,0.0626000016927719,0.140100002288818,0.17790000140667,0.853500008583069,0.588299989700317,0.188700005412102,0.86710000038147,0,0.51230001449585,0.394400000572205,0.221599996089935,0.808200001716614,0.551199972629547,0,0.112400002777576,0.392100006341934,18,216,1202,7,152.779162347014,-25.3841490877587
5080070220,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.542999982833862,0.40404999256134,0.643350005149841,0.11795000359416,0.284800000488758,0.787600010633469,0.608249992132187,0.124300003051758,0.907449990510941,0.128250002861023,0.504999995231628,0.656349986791611,0.643750011920929,0.628199994564056,0.549650013446808,0,0.861000001430511,0.0835499987006187,56,206,1540,1,152.974354231627,-26.2137067119969
5080070230,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0.465099990367889,0.435699999332428,0.619700014591217,0.0507000014185905,0.319700002670288,0.778900027275085,0.656799972057343,0.0629000018040339,0.919399976730347,0.256500005722046,0.547699987888336,0.689499974250793,0.6007000207901,0.578000009059906,0.644900023937225,0,0.864099979400635,0,22,205,1769,0,153.061309381952,-26.4758569905672
5080070250,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.438249990344048,0.404249995946884,0.638150006532669,0.0282500006724149,0.296049997210503,0.809799998998642,0.683049976825714,0.0957750007510185,0.912149995565414,0.241850003600121,0.562849998474121,0.504749983549118,0.568450003862381,0.289000004529953,0.542600005865097,0,0.432049989700317,0,86,199,1760,2,152.965123133209,-26.5944938813504
5080070260,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0.527899995446205,0.332049995660782,0.754949986934662,0.0876499966252595,0.220249995589256,0.904799997806549,0.80019998550415,0.0971999987959862,0.908749997615814,0.422599986195564,0.682799994945526,0.390349999070168,0.75094997882843,0,0.468449994921684,0,0.417849987745285,0,34,201,1591,1,153.030705663424,-26.8978180764224
5080070340,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527899995446205,0.332049995660782,0.754949986934662,0.0876499966252595,0.220249995589256,0.904799997806549,0.80019998550415,0.129599998394648,0.908749997615814,0.422599986195564,0.682799994945526,0.390349999070168,0.75094997882843,0,0.468449994921684,0,0.417849987745285,0,89,198,1366,3,152.906034827888,-27.0944636058773
5080070350,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0.644400000572205,0.291299998760223,0.853299975395203,0.16949999332428,0.168099999427795,0.9689000248909,0.891099989414215,0.0971999987959862,0.912599980831146,0.617999970912933,0.787599980831146,0.460700005292892,0.965699970722198,0,0.4966000020504,0,0.83569997549057,0,14,202,1293,1,153.043542756881,-27.2234569416845
5080070360,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.644400000572205,0.291299998760223,0.853299975395203,0.16949999332428,0.168099999427795,0.9689000248909,0.891099989414215,0.194399997591972,0.912599980831146,0.617999970912933,0.787599980831146,0.460700005292892,0.965699970722198,0,0.4966000020504,0,0.83569997549057,0,156,194,1265,1,152.854354312759,-27.2735938945708
5080070370,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0.644400000572205,0.291299998760223,0.853299975395203,0.16949999332428,0.168099999427795,0.9689000248909,0.891099989414215,0.0971999987959862,0.912599980831146,0.617999970912933,0.787599980831146,0.460700005292892,0.965699970722198,0,0.4966000020504,0,0.83569997549057,0,17,202,1227,0,153.068846683716,-27.3652014398487
